Source,Target,Type,Id,Label,timeset,Weight
1061186078,1385292826,Undirected,99589,,,1
1061186078,1416744500,Undirected,99590,,,1
1061186078,1445349980,Undirected,99591,,,3
1061186078,1453738719,Undirected,99592,,,1
1061186078,1552866737,Undirected,99593,,,1
1061187447,1018851106,Undirected,99594,,,1
1061201955,1410147237,Undirected,99595,,,1
1061201955,1453738719,Undirected,99596,,,1
1061201955,1498171234,Undirected,99597,,,1
1061216998,1007884158,Undirected,99598,,,1
1061216998,1069291200,Undirected,99599,,,1
1061256596,1001127845,Undirected,99600,,,1
1061256596,1204964741,Undirected,99601,,,1
1061256596,1366227677,Undirected,99602,,,1
1061256596,1385292826,Undirected,99603,,,1
1061260630,1228946795,Undirected,99604,,,1
1061278968,496841770,Undirected,99605,,,1
1061342864,1004635542,Undirected,99606,,,1
1061342864,1006939659,Undirected,99607,,,1
1061342864,1243524151,Undirected,99608,,,1
1061376199,1004069147,Undirected,99609,,,2
1061380209,1001329261,Undirected,99610,,,1
1061380209,1005665139,Undirected,99611,,,2
1061380209,1006212930,Undirected,99612,,,1
1061380209,1006263686,Undirected,99613,,,1
1061380209,1058667053,Undirected,99614,,,1
1061380209,1068487996,Undirected,99615,,,2
1061380209,1331110775,Undirected,99616,,,1
1061394502,1001976122,Undirected,99617,,,1
1061394502,1002062924,Undirected,99618,,,2
1061394502,1004128493,Undirected,99619,,,1
1061394502,1005280116,Undirected,99620,,,1
1061394502,1005665139,Undirected,99621,,,1
1061394502,1006136662,Undirected,99622,,,1
1061394502,1006430686,Undirected,99623,,,1
1061394502,1006457889,Undirected,99624,,,1
1061394502,1006914438,Undirected,99625,,,5
1061394502,1007714672,Undirected,99626,,,1
1061394502,1007884158,Undirected,99627,,,8
1061394502,1011836030,Undirected,99628,,,1
1061394502,1050977352,Undirected,99629,,,1
1061394502,1058667053,Undirected,99630,,,1
1061394502,1064916983,Undirected,99631,,,1
1061394502,1068487996,Undirected,99632,,,2
1061394502,1106958042,Undirected,99633,,,5
1061394502,1138252160,Undirected,99634,,,1
1061394502,1140394567,Undirected,99635,,,2
1061394502,1154252621,Undirected,99636,,,1
1061394502,1202052516,Undirected,99637,,,1
1061394502,1202619204,Undirected,99638,,,1
1061394502,1202988976,Undirected,99639,,,1
1061394502,1215355989,Undirected,99640,,,1
1061394502,1221856285,Undirected,99641,,,1
1061394502,1268919673,Undirected,99642,,,1
1061394502,1286006168,Undirected,99643,,,1
1061394502,1297808845,Undirected,99644,,,1
1061394502,1305838288,Undirected,99645,,,1
1061394502,1324689269,Undirected,99646,,,1
1061394502,1445349980,Undirected,99647,,,1
1061394502,1473800243,Undirected,99648,,,1
1061394502,1493948974,Undirected,99649,,,1
1061394502,1500077648,Undirected,99650,,,1
1061406787,1007884158,Undirected,99651,,,1
1061431924,1000780926,Undirected,99652,,,1
1061431924,1000960164,Undirected,99653,,,1
1061431924,1001329261,Undirected,99654,,,8
1061431924,1001621611,Undirected,99655,,,1
1061431924,1002004251,Undirected,99656,,,3
1061431924,1002373496,Undirected,99657,,,1
1061431924,1002483751,Undirected,99658,,,1
1061431924,1002537588,Undirected,99659,,,3
1061431924,1003783011,Undirected,99660,,,1
1061431924,1004069147,Undirected,99661,,,1
1061431924,1004303329,Undirected,99662,,,1
1061431924,1004576149,Undirected,99663,,,1
1061431924,1005143572,Undirected,99664,,,1
