Id,Label,timeset,modularity_class,Degree
3265,delete,,28,9
3266,deleted,,28,9
3267,deliberation,,1967,10
3268,delighted,,1958,4
3269,delinquent,,2060,4
3270,deliver,,568,2
3271,delivered,,569,2
3272,delivering,,849,4
3273,delivers,,106,3
3274,delivery,,161,6
3275,delmonico,,1129,8
3276,delusion,,2185,3
3277,delusional,,416,3
3278,deluxe,,2128,8
3279,dem,,570,2
3280,demand,,571,2
3281,demanded,,2185,6
3282,demanding,,572,2
3283,demdebate,,573,2
3284,demean,,278,4
3285,demeaning,,422,4
3286,demeanor,,1951,4
3287,demegl,,574,2
3288,demented,,71,5
3289,demerytaylor,,844,3
3290,demise,,1855,7
3291,demo,,1888,5
3292,democracy,,575,2
3293,democrat,,576,2
3294,democratic,,577,2
3295,democratsfortrump,,111,6
3296,demographic,,487,6
3297,demonstrated,,2227,7
3298,demonstrates,,161,6
3299,demonstration,,1907,7
3300,demoted,,729,4
3301,dempsey,,496,7
3302,dems,,578,2
3303,den,,181,5
3304,denial,,1022,5
3305,denicarter,,729,6
3306,denied,,2155,5
3307,denies,,1956,5
3308,denigrate,,579,3
3309,denise,,729,3
3310,denmark,,95,7
3311,dennis,,120,4
3312,dennisdmz,,487,3
3313,dennisrodman,,120,4
3314,denoforensics,,580,2
3315,denounce,,496,6
3316,denuclearization,,119,12
3317,denuclearize,,119,8
3318,denver,,467,6
3319,denverva,,98,3
3320,deny,,581,2
3321,denying,,485,4
3322,denzen,,1129,8
3323,dep,,1711,7
3324,departed,,859,8
3325,departing,,1342,4
3326,department,,181,4
3327,depend,,2064,7
3328,dependency,,2051,5
3329,dependent,,582,2
3330,depending,,70,3
3331,depends,,521,4
3332,depict,,833,3
3333,depicted,,188,6
3334,depleted,,98,3
3335,deplorables,,1862,3
3336,deploy,,2227,5
3337,deployed,,144,13
3338,deport,,111,7
3339,deportation,,583,2
3340,deported,,1969,4
3341,deporting,,111,12
3342,depot,,485,7
3343,depraved,,584,7
3344,depravity,,181,5
3345,depressed,,1711,7
3346,depression,,893,5
3347,deprived,,71,6
3348,dept,,729,4
3349,depth,,2227,5
3350,deptvetaffairs,,2017,6
3351,deputy,,16,6
3352,deranged,,2081,5
3353,derangement,,1967,5
3354,derby,,1958,9
3355,deregulation,,2227,4
3356,derek,,111,12
3357,derekcarlson,,585,2
3358,derekhough,,487,7
3359,derekjeter,,111,3
3360,derogatory,,167,5
3361,deroy,,95,6
3362,dershowitz,,888,6
3363,desantis,,1022,10
3364,descended,,451,6
3365,descent,,159,4
3366,describe,,2129,4
3367,described,,1931,10
3368,describes,,98,5
3369,describing,,388,3
3370,description,,849,5
3371,desert,,584,6
3372,deserted,,2178,8
3373,deserter,,2129,5
3374,deserve,,2017,4
3375,deserved,,586,2
3376,deserves,,587,2
3377,deserving,,888,5
3378,desheay,,588,3
3379,design,,144,7
3380,designated,,278,5
3381,designation,,2072,6
3382,designed,,521,7
3383,designer,,2128,5
3384,designerdeb,,589,2
3385,designergirla,,590,3
3386,desire,,591,4
3387,desiree,,388,3
3388,desk,,592,2
3389,desmoines,,690,5
3390,despair,,2178,6
3391,desperate,,1759,3
3392,desperately,,593,3
3393,desperation,,2155,4
3394,despicable,,888,5
3395,despise,,417,7
3396,despite,,594,2
3397,destabilize,,28,7
3398,destination,,311,5
3399,destined,,71,6
3400,destiny,,167,3
3401,destroy,,595,2
3402,destroyed,,596,2
3403,destroying,,597,2
3404,destroys,,598,2
3405,destruct,,2207,4
3406,destruction,,3,7
3407,destructive,,517,5
3408,detail,,599,2
3409,detailed,,2064,4
3410,detailing,,2155,3
3411,detain,,149,5
3412,detained,,149,4
3413,detainee,,600,8
3414,detective,,417,4
3415,detention,,144,4
3416,determination,,190,4
3417,determine,,75,5
3418,determined,,71,4
3419,determining,,2207,4
3420,deterrent,,3,8
3421,detractor,,1931,5
3422,detriment,,601,2
3423,detrimental,,1888,5
3424,detroit,,602,2
3425,deucecrew,,600,8
3426,devaluation,,3,9
3427,devalue,,392,9
3428,devalued,,3,7
3429,devaluing,,3,6
3430,devastated,,603,2
3431,devastating,,604,2
3432,devastation,,2051,6
3433,develop,,188,3
3434,developed,,605,2
3435,developer,,1907,3
3436,developing,,120,3
3437,development,,606,2
3438,device,,416,6
3439,devil,,1400,4
3440,devin,,311,6
3441,devinnunes,,1931,6
3442,devote,,2081,4
3443,devoted,,161,6
3444,devotion,,103,5
3445,dewey,,849,9
3446,dhabi,,71,4
3447,dhs,,607,2
3448,dhsgov,,467,10
3449,dialogue,,2157,4
3450,diamond,,2063,7
3451,diamondandsilk,,130,6
3452,diane,,70,4
3453,dianejackson,,422,3
3454,dianne,,584,11
3455,dianneg,,584,8
3456,diannelea,,608,3
3457,diary,,690,4
3458,dick,,111,12
3459,dickerson,,840,5
3460,dictate,,2081,4
3461,dictator,,188,6
3462,dictionary,,70,6
3463,didnt,,893,6
3464,die,,609,2
3465,died,,416,3
3466,diego,,1969,6
3467,diet,,159,10
3468,difference,,98,3
3469,different,,610,2
3470,differently,,584,4
3471,difficult,,611,2
3472,difficulty,,161,5
3473,dig,,28,4
3474,digenova,,584,8
3475,digest,,392,4
3476,digit,,2129,6
3477,digital,,859,6
3478,digitaljournal,,612,2
3479,digitalspyus,,120,5
3480,dignified,,1888,5
3481,dignity,,2120,3
3482,dilemma,,167,5
3483,diligence,,2227,4
3484,diligent,,1958,3
3485,diller,,1022,5
3486,dillon,,2081,6
3487,dime,,98,4
3488,diminish,,690,6
3489,dimon,,120,8
3490,dine,,3,3
3491,dined,,2178,4
3492,dinesh,,75,5
3493,dineshdsouza,,613,2
3494,dingell,,28,6
3495,dining,,2063,5
3496,dinner,,840,5
3497,diplo,,729,4
3498,diplomacy,,1888,6
3499,diplomat,,614,2
3500,diplomatic,,2227,3
3501,dir,,149,7
3502,dire,,388,6
3503,direct,,615,2
3504,directed,,417,6
3505,directing,,2051,11
3506,direction,,893,4
3507,directly,,149,4
3508,director,,2109,5
3509,dirt,,28,3
3510,dirtmeister,,71,4
3511,dirty,,616,3
3512,dis,,2056,4
3513,disability,,416,3
3514,disabled,,2178,7
3515,disadvantage,,3,8
3516,disagree,,617,3
3517,disagreed,,159,5
3518,disappear,,505,4
3519,disappeared,,2251,4
3520,disappoint,,2231,4
3521,disappointed,,618,2
3522,disappointing,,181,5
3523,disappointment,,95,5
3524,disapproval,,2056,4
3525,disarm,,467,6
3526,disarray,,1958,4
3527,disaster,,75,5
3528,disastrous,,517,3
3529,disavow,,98,4
3530,disavowed,,1800,6
3531,disbanded,,883,7
3532,disbelief,,236,3
3533,disciple,,2178,3
3534,discipline,,505,3
3535,disciplined,,2060,10
3536,disclaimer,,753,3
3537,disclose,,2109,6
3538,disclosed,,1855,6
3539,disclosure,,1956,4
3540,discord,,302,8
3541,discount,,103,10
3542,discounting,,1862,6
3543,discouragement,,1888,6
3544,discover,,1129,6
3545,discovered,,2178,4
3546,discovery,,3,7
3547,discoverycanada,,111,7
3548,discredit,,2072,9
3549,discredited,,2109,4
3550,discretion,,75,6
3551,discriminated,,2235,4
3552,discriminating,,75,3
3553,discrimination,,2051,6
3554,discriminatory,,505,9
3555,discus,,619,2
3556,discussed,,620,2
3557,discussing,,149,7
3558,discussion,,621,2
3559,disdain,,893,4
3560,disease,,2120,9
3561,disenfranchised,,622,3
3562,disgrace,,623,2
3563,disgraced,,624,2
3564,disgraceful,,625,2
3565,disgruntled,,584,6
3566,disgust,,1931,7
3567,disgusted,,849,4
3568,disgusting,,626,2
3569,dish,,2051,6
3570,dishonest,,627,2
3571,dishonesty,,628,2
3572,disinformation,,2227,4
3573,dislike,,1399,4
3574,disloyal,,167,3
3575,disloyalty,,2231,5
3576,dismal,,629,2
3577,dismantle,,149,7
3578,dismantled,,496,5
3579,dismantling,,1958,3
3580,dismiss,,2036,8
3581,dismissed,,2036,5
3582,dismissing,,149,6
3583,disney,,893,4
3584,disparage,,190,5
3585,dispel,,70,5
3586,display,,1711,3
3587,displayed,,190,3
3588,displaying,,1967,5
3589,disposal,,417,11
3590,disposed,,1951,8
3591,disposing,,1951,8
3592,disproportionate,,1855,5
3593,disproven,,190,3
3594,dispute,,58,4
3595,disqualified,,103,4
3596,disqualifying,,144,3
3597,disraeli,,2227,5
3598,disregard,,106,6
3599,disrespect,,58,8
3600,disrespected,,2109,5
3601,disrespectful,,1022,3
3602,disrespecting,,58,12
3603,disrupt,,630,3
3604,disrupter,,888,4
3605,disruption,,302,7
3606,dissension,,149,5
3607,distance,,600,4
3608,distancing,,1958,4
3609,distant,,144,5
3610,distinct,,2063,8
3611,distinction,,2185,7
3612,distinguished,,2207,7
3613,distinguishes,,690,5
3614,distort,,729,3
3615,distorted,,3,4
3616,distorting,,311,6
3617,distortion,,729,3
3618,distract,,729,4
3619,distracted,,485,7
3620,distraction,,2155,5
3621,distribute,,1888,6
3622,distribution,,181,4
3623,distributor,,1951,6
3624,district,,1969,5
3625,distrust,,149,5
3626,disturbed,,388,5
3627,ditch,,883,4
3628,ditka,,2060,5
3629,diva,,2056,6
3630,dive,,888,4
3631,divermam,,106,5
3632,diverojalv,,98,4
3633,diverse,,1862,7
3634,diversionary,,2056,5
3635,diversity,,58,7
3636,diverted,,2128,7
3637,divide,,600,4
3638,divided,,149,3
3639,dividend,,631,4
3640,dividing,,2081,4
3641,division,,600,3
3642,divisive,,188,4
3643,divorced,,2036,6
3644,diwali,,1711,7
3645,dj,,729,4
3646,django,,188,7
3647,djcorners,,632,2
3648,djmikeol,,278,7
3649,djohnsonpga,,302,4
3650,djt,,1888,3
3651,dlake,,1958,9
3652,dldizel,,71,6
3653,dloesch,,190,5
3654,dmartosko,,584,5
3655,dmolesevich,,70,3
3656,dmregister,,729,9
3657,dmt,,888,7
3658,dmz,,2191,4
3659,dnc,,28,4
3660,dni,,2185,5
3661,dnorrell,,2109,8
3662,dobbs,,302,6
3663,doc,,849,4
3664,docabraham,,2185,8
3665,dock,,106,9
3666,dockett,,2081,6
3667,doctor,,1862,4
3668,doctored,,144,8
3669,doctrine,,888,6
3670,document,,159,4
3671,documentary,,517,4
3672,documentation,,416,3
3673,documented,,416,8
3674,dod,,149,7
3675,dodd,,1022,3
3676,dodge,,2155,3
3677,dodger,,2081,7
3678,doe,,1022,4
3679,doer,,111,8
3680,doesnt,,103,6
3681,dog,,2227,4
3682,dogan,,840,8
3683,doings,,416,8
3684,doj,,2185,4
3685,dole,,278,9
3686,dolefoundation,,1711,7
3687,doll,,278,5
3688,dollar,,883,3
3689,dolly,,2129,6
3690,domain,,2064,6
3691,domenicsiracusa,,521,3
3692,domestic,,95,3
3693,domestically,,633,4
3694,dominance,,634,2
3695,dominant,,2155,9
3696,dominate,,487,6
3697,dominated,,2056,3
3698,dominates,,2120,3
3699,dominating,,2081,5
3700,domination,,1888,4
3701,dominican,,167,9
3702,domjoly,,635,2
3703,donal,,840,4
3704,donald,,636,3
3705,donaldforpresident,,584,5
3706,donaldforprez,,637,2
3707,donaldjtrump,,28,5
3708,donaldjtrumpjr,,729,6
3709,donaldtrump,,638,2
3710,donaldtrumpforpresident,,639,2
3711,donaldtrumphub,,2081,6
3712,donaleecurtis,,278,3
3713,donate,,416,4
3714,donated,,1969,3
3715,donates,,278,8
3716,donating,,161,6
3717,donation,,640,2
3718,done,,641,3
3719,dongibson,,1602,5
3720,donlemon,,496,8
3721,donna,,1931,6
3722,donnabrazile,,1951,6
3723,donnell,,1129,5
3724,donnelly,,517,3
3725,donnie,,302,6
3726,donny,,496,5
3727,donnydeutsch,,496,3
3728,donnysmith,,642,2
3729,donor,,643,2
3730,donovan,,106,7
3731,dont,,644,2
3732,doo,,1800,6
3733,doomed,,119,3
3734,doomsdayfan,,645,2
3735,doonbeg,,2128,8
3736,door,,646,2
3737,doorstep,,2178,9
3738,dope,,2227,3
3739,dopey,,2155,5
3740,doping,,111,6
3741,doral,,1855,11
3742,doralresort,,2056,3
3743,dorian,,417,6
3744,doris,,647,2
3745,dorothy,,729,3
3746,dorya,,1951,6
3747,dos,,2120,6
3748,dose,,2120,5
3749,dossier,,2109,14
3750,dotson,,98,3
3751,double,,2129,4
3752,doubled,,184,4
3753,doubling,,648,2
3754,doubt,,649,2
3755,doubter,,70,4
3756,douche,,190,6
3757,doug,,849,5
3758,dougducey,,2056,5
3759,dougjones,,505,7
3760,douglas,,496,5
3761,dov,,111,8
3762,dover,,650,2
3763,dow,,2227,6
3764,dowd,,2060,6
3765,dowk,,103,3
3766,down,,517,3
3767,downgrade,,485,3
3768,downgraded,,485,4
3769,downhill,,729,5
3770,download,,893,5
3771,downside,,651,3
3772,downtown,,181,8
3773,downturn,,119,3
3774,downward,,58,4
3775,dozen,,1862,7
3776,dp,,893,5
3777,dpal,,278,3
3778,dpatten,,71,5
3779,dphilbs,,2120,5
3780,dr,,2109,6
3781,draft,,652,2
3782,drafted,,2109,4
3783,drag,,417,8
3784,dragged,,517,5
3785,draghi,,1958,4
3786,drain,,98,6
3787,draining,,98,3
3788,draintheswamp,,653,2
3789,drake,,654,2
3790,drama,,888,6
3791,dramatic,,2036,5
3792,dramatically,,521,4
3793,drank,,388,4
3794,draw,,485,4
3795,drawing,,655,2
3796,drawn,,144,8
3797,drchimrickles,,2251,6
3798,drdardano,,311,4
3799,dream,,656,2
3800,dreamed,,1129,4
3801,dreamer,,1862,5
3802,dreaming,,236,3
3803,dress,,2191,9
3804,dressed,,523,3
3805,drew,,58,8
3806,drewmadeoff,,893,4
3807,drill,,161,5
3808,drilling,,58,4
3809,drink,,1888,4
3810,drinking,,159,7
3811,drip,,167,5
3812,drive,,657,2
3813,driven,,1800,7
3814,driver,,416,6
3815,driving,,658,2
3816,drjamescabot,,392,10
3817,drodell,,1888,4
3818,drone,,416,4
3819,drooling,,144,5
3820,drop,,659,2
3821,dropout,,467,5
3822,dropped,,660,2
3823,dropping,,661,2
3824,drought,,2056,8
3825,drove,,1969,3
3826,drucker,,2185,5
3827,drudge,,161,5
3828,drug,,485,10
3829,drugged,,190,7
3830,druggie,,111,9
3831,druggies,,189,7
3832,drum,,417,9
3833,drunk,,190,4
3834,dry,,487,6
3835,dryan,,662,2
3836,dshimogawa,,663,3
3837,dszippit,,2128,4
3838,dt,,485,7
3839,dtmag,,664,2
3840,dts,,2227,3
3841,du,,859,8
3842,duanemcanally,,58,6
3843,dub,,1711,5
3844,dubai,,2155,8
3845,dubuque,,2227,6
3846,duck,,1907,8
3847,dud,,188,8
3848,duda,,58,6
3849,dude,,1907,7
3850,due,,2060,3
3851,duffy,,451,6
3852,duh,,2157,4
3853,duke,,98,7
3854,dull,,16,3
3855,duluth,,2056,4
3856,duly,,2227,10
3857,dumb,,665,2
3858,dumbass,,2060,3
3859,dumber,,893,5
3860,dumbest,,2185,3
3861,dummy,,666,2
3862,dump,,667,2
3863,dumped,,517,6
3864,dumping,,2081,5
3865,duncan,,2227,5
3866,duncanbannatyne,,1907,4
3867,dune,,2128,10
3868,dungyots,,1711,6
3869,dunn,,167,4
3870,dunningjudith,,668,2
3871,duo,,167,8
3872,duped,,669,2
3873,dupont,,690,10
3874,durandsentinus,,70,4
3875,durangorick,,159,4
3876,durantrandy,,670,2
3877,durst,,496,8
3878,dust,,302,4
3879,dustin,,302,5
3880,dusty,,2227,4
3881,dutch,,521,5
3882,duty,,144,10
3883,dvr,,584,6
3884,dwain,,729,3
3885,dwell,,2157,3
3886,dwight,,159,6
3887,dwindling,,671,2
3888,dwstweets,,28,7
3889,dwts,,487,6
3890,dwyane,,1129,4
3891,dxkelley,,16,5
3892,dy,,106,3
3893,dying,,672,2
3894,dylanhendlich,,2081,4
3895,dynamic,,1800,8
3896,dynamicwil,,673,2
3897,dynasty,,1022,4
3898,dysfunctional,,674,2
3899,eager,,417,6
3900,eagle,,1907,8
3901,eamyoncanoe,,188,5
3902,ear,,2109,8
3903,earlier,,675,2
3904,earliest,,1862,6
3905,early,,676,2
3906,earn,,849,3
3907,earned,,2178,3
3908,earnings,,1678,4
3909,earth,,677,2
3910,earther,,600,3
3911,earthquake,,167,3
3912,ease,,729,8
3913,easier,,678,2
3914,easily,,417,3
3915,easing,,3,9
3916,east,,1129,3
3917,easter,,2235,3
3918,eastern,,679,2
3919,eastman,,2128,4
3920,eastonwestwood,,150,7
3921,eastwood,,58,4
3922,easy,,2157,4
3923,eat,,161,4
3924,eaten,,159,8
3925,eater,,2063,8
3926,eaterchicago,,2063,7
3927,eating,,159,7
3928,eaton,,388,8
3929,eawiii,,680,2
3930,eb,,181,5
3931,ebola,,159,6
3932,ec,,2051,7
3933,echo,,690,7
3934,econ,,521,6
3935,economic,,75,4
3936,economically,,681,2
3937,economics,,75,3
3938,economist,,103,5
3939,economize,,2128,5
3940,economy,,682,2
3941,ecstatic,,111,4
3942,ect,,1800,6
3943,ed,,690,8
3944,edandbev,,2155,6
3945,eddie,,584,6
3946,eddierispone,,2185,10
3947,edge,,683,2
3948,edhenry,,1800,4
3949,edincamera,,467,6
3950,edison,,521,5
3951,edited,,849,6
3952,editing,,849,5
3953,edition,,840,3
3954,editor,,2178,3
3955,editorial,,16,4
3956,edm,,2155,7
3957,edrollins,,690,7
3958,edshow,,849,4
3959,educate,,149,6
3960,educated,,1022,7
3961,education,,883,4
3962,educational,,2235,7
3963,educator,,517,12
3964,edward,,2185,8
3965,edwardashton,,684,2
3966,edwardchelednik,,149,3
3967,edwardfcox,,2157,5
3968,edwgillespie,,685,2
3969,edwin,,58,6
3970,effect,,392,4
3971,effective,,1153,3
3972,effectively,,28,6
3973,efficient,,2056,4
3974,efficiently,,584,3
3975,effort,,840,5
3976,egg,,1888,6
3977,ego,,167,6
3978,egregious,,686,3
3979,egypt,,1907,9
3980,egyptian,,144,6
3981,ehasselbeck,,1129,5
3982,eight,,1800,5
3983,einstein,,302,7
3984,eisenhower,,159,3
3985,either,,2157,3
3986,el,,106,9
3987,elaine,,2109,9
3988,elated,,16,9
3989,elderly,,1958,4
3990,eldycorrea,,106,5
3991,elect,,687,2
3992,electability,,688,2
3993,electable,,1931,3
3994,elected,,2227,4
3995,electing,,2185,6
3996,election,,689,2
3997,electionday,,1951,5
3998,electionnight,,1951,4
3999,electoral,,236,3
4000,electric,,2129,3
4001,electrical,,690,6
4002,electricity,,28,5
4003,electronic,,2103,4
4004,electronics,,189,9
4005,elegance,,840,11
4006,elegant,,2063,6
4007,element,,189,4
4008,elephant,,883,7
4009,elevate,,584,8
4010,elevated,,1951,3
4011,elevation,,181,5
4012,elevator,,302,9
4013,eleven,,1711,3
4014,elgianne,,691,2
4015,elginet,,1855,5
4016,eli,,467,5
4017,elianism,,2231,6
4018,eligibility,,278,6
4019,eligible,,1931,4
4020,eliise,,692,3
4021,elijah,,600,8
4022,eliminate,,120,5
4023,eliminated,,2072,7
4024,eliminating,,28,5
4025,elimination,,2072,7
4026,eliot,,302,6
4027,elisabeth,,1129,4
4028,elise,,1907,3
4029,elisestefanik,,849,3
4030,elite,,693,2
4031,elizabeth,,1956,13
4032,elizabethforma,,1956,13
4033,elizawindso,,1022,3
4034,elkaneh,,417,6
4035,ellen,,188,7
4036,ellenespence,,2056,4
4037,elli,,521,5
4038,elliot,,2081,6
4039,elliotg,,2081,4
4040,ellontimeskenny,,2207,4
4041,elonmusk,,119,6
4042,else,,694,2
4043,elsewhere,,695,2
4044,elsolarverde,,1969,4
4045,elton,,2185,6
4046,elvinichols,,729,4
4047,elvisduran,,729,7
4048,em,,696,2
4049,email,,28,10
4050,emanuel,,2064,6
4051,embarassment,,2064,7
4052,embargo,,467,6
4053,embarrass,,147,6
4054,embarrassed,,697,2
4055,embarrassing,,2081,3
4056,embarrassment,,698,2
4057,embassy,,1711,3
4058,emboldened,,2185,7
4059,embrace,,98,4
4060,embraced,,2155,4
4061,embracing,,130,3
4062,emerge,,1862,5
4063,emerged,,1862,4
4064,emergency,,161,3
4065,emerges,,236,6
4066,emerson,,236,6
4067,emily,,818,3
4068,emilyhoms,,119,4
4069,emilymiller,,1800,4
4070,emilyplacido,,2191,5
4071,emin,,167,6
4072,eminent,,2064,5
4073,eminofficial,,167,9
4074,emirate,,120,6
4075,emission,,1907,5
4076,emmanuel,,859,5
4077,emmanuelmacron,,859,7
4078,emmett,,2155,7
4079,emmy,,188,7
4080,emohermione,,2227,4
4081,emolument,,111,6
4082,emotion,,699,2
4083,emotional,,2227,8
4084,empathy,,2120,6
4085,emperor,,859,8
4086,emphasis,,311,7
4087,emphasize,,700,4
4088,emphasizes,,167,5
4089,empire,,701,2
4090,empireofsocial,,2251,4
4091,employ,,702,2
4092,employed,,2064,5
4093,employee,,496,5
4094,employer,,517,4
4095,employment,,703,2
4096,empower,,149,5
4097,empowering,,1931,5
4098,empty,,517,5
4099,emulate,,2017,5
4100,en,,2051,8
4101,enabled,,2109,12
4102,enact,,2185,4
4103,enacted,,1129,5
4104,encounter,,416,8
4105,encourage,,2017,4
4106,encouraged,,119,5
4107,encourages,,1711,5
4108,end,,704,2
4109,endeavor,,2060,6
4110,ended,,705,2
4111,ending,,706,2
4112,endless,,2072,8
4113,endlessly,,2157,7
4114,endorse,,707,3
4115,endorsed,,71,3
4116,endorsement,,98,31
4117,endorses,,1800,5
4118,endorsing,,75,3
4119,endure,,416,4
4120,endured,,840,5
4121,enduring,,1967,3
4122,enemy,,708,3
4123,energetic,,840,6
4124,energized,,149,3
4125,energizer,,1800,3
4126,energizes,,2235,4
4127,energizing,,184,4
4128,energy,,1129,3
4129,enforce,,2128,6
4130,enforcement,,2128,6
4131,enforcer,,2072,9
4132,enforcing,,1888,6
4133,eng,,709,3
4134,engage,,710,3
4135,engaged,,2060,5
4136,engagement,,1711,5
4137,engages,,2081,4
4138,engaging,,3,7
4139,engine,,2191,9
4140,engineer,,119,4
4141,engineering,,70,4
4142,england,,487,3
4143,english,,2072,3
4144,enhance,,149,4
4145,enhanced,,181,4
4146,enjoy,,711,3
4147,enjoyable,,849,4
4148,enjoyed,,712,2
4149,enjoying,,713,2
4150,enjoyment,,714,3
4151,enjoys,,2128,8
4152,enlightenment,,1888,5
4153,enlisted,,1800,6
4154,ennaleigh,,1967,3
4155,enormous,,1967,3
4156,enough,,1958,3
4157,enrich,,71,4
4158,enriching,,2109,4
4159,enrolled,,849,4
4160,enrollee,,2081,7
4161,enrollment,,2081,7
4162,ensure,,505,3
4163,ensures,,2051,6
4164,ensuring,,2051,14
4165,entail,,302,5
4166,enter,,2157,5
4167,entered,,715,2
4168,entering,,159,3
4169,enterprise,,16,5
4170,entertain,,1958,6
4171,entertainer,,2072,5
4172,entertaining,,716,2
4173,entertainment,,717,2
4174,enthusiasm,,718,2
4175,enthusiastic,,190,3
4176,entire,,719,2
4177,entirely,,2036,4
4178,entirety,,120,7
4179,entitled,,2051,3
4180,entitlement,,2051,5
4181,entity,,2017,4
4182,entrepreneur,,417,6
4183,entrepreneurial,,720,3
4184,entrepreneurship,,159,4
4185,entry,,392,5
4186,envelope,,106,4
4187,envied,,120,6
4188,environment,,2191,4
4189,environmental,,721,2
4190,environmentalist,,883,3
4191,environmentally,,2207,7
4192,envision,,119,7
4193,envisioned,,119,5
4194,envoy,,181,4
4195,envy,,722,3
4196,eo,,1888,8
4197,eonline,,723,2
4198,eowdc,,1907,9
4199,ep,,16,5
4200,epa,,184,7
4201,epic,,496,5
4202,epidemic,,517,4
4203,epilepsy,,278,3
4204,episode,,724,2
4205,epitome,,2017,8
4206,epitomize,,840,5
4207,epitomizes,,417,6
4208,epn,,883,5
4209,ept,,2251,5
4210,equal,,725,3
4211,equality,,1967,8
4212,equally,,505,4
4213,equated,,392,5
4214,equestrian,,1855,8
4215,equilibrium,,2227,5
4216,equipment,,726,2
4217,equipped,,859,5
4218,equity,,1907,6
4219,er,,1800,6
4220,era,,727,2
4221,eradicate,,95,7
4222,eradicating,,189,3
4223,erase,,278,8
4224,erc,,584,3
4225,erdogan,,2072,10
4226,eric,,883,4
4227,ericbolling,,16,4
4228,ericcantor,,744,4
4229,erichfschroeder,,517,3
4230,erick,,1129,4
4231,ericlahti,,278,3
4232,ericleebow,,728,2
4233,ericnlin,,2128,4
4234,ericshawnonfox,,2191,7
4235,erictrump,,729,9
4236,erictrumpfdn,,729,9
4237,erie,,98,4
4238,erik,,2056,7
4239,erikaunapuu,,159,6
4240,erin,,167,5
4241,erinburnett,,496,5
4242,erintighe,,730,2
4243,ernie,,2157,9
4244,ernst,,1800,4
4245,erode,,467,5
4246,eroding,,467,6
4247,erolyalim,,731,2
4248,erotao,,16,4
4249,erratic,,388,9
4250,error,,2120,3
4251,erupts,,2155,5
4252,escape,,302,3
4253,escaped,,119,8
4254,escaping,,505,6
4255,escarry,,485,3
4256,escobedoantonio,,732,2
4257,especially,,733,2
4258,esper,,467,14
4259,esperdod,,467,7
4260,espionage,,2120,5
4261,espn,,849,3
4262,espngolf,,167,5
4263,espngolic,,849,5
4264,espngreeny,,849,5
4265,esque,,161,6
4266,esquire,,2017,3
4267,essence,,2128,5
4268,essential,,2063,4
4269,essentially,,734,2
4270,est,,167,4
4271,establish,,2060,4
4272,established,,1888,7
4273,establishment,,735,2
4274,estate,,1967,5
4275,este,,2128,11
4276,estes,,1022,4
4277,estimate,,1129,4
4278,estimated,,75,7
4279,et,,167,4
4280,etc,,736,2
4281,eternal,,103,10
4282,eternally,,103,9
4283,ethabrooke,,16,3
4284,ethan,,16,3
4285,ethanol,,2178,12
4286,ethansimmons,,2227,5
4287,ethic,,737,2
4288,ethiopia,,58,7
4289,eu,,1711,3
4290,euan,,738,3
4291,eugene,,167,4
4292,euro,,3,4
4293,europe,,2128,3
4294,european,,103,4
4295,evacuation,,2017,7
4296,evaemery,,739,2
4297,evan,,1855,8
4298,evangelical,,75,3
4299,evangelicals,,740,2
4300,evanmcmurry,,2227,5
4301,evansville,,2157,4
4302,eve,,2063,6
4303,even,,584,3
4304,evening,,741,2
4305,eveningexpress,,742,2
4306,event,,743,2
4307,eventbrite,,888,6
4308,eventual,,3,7
4309,eventually,,744,3
4310,ever,,745,2
4311,everett,,517,3
4312,everglades,,2157,7
4313,everlasting,,2178,13
4314,everthing,,181,4
4315,every,,746,2
4316,everybody,,747,2
4317,everyday,,748,2
4318,everyone,,749,2
4319,everything,,417,4
4320,everytime,,1800,6
4321,everywhere,,302,3
4322,evidence,,28,4
4323,evident,,517,6
4324,evil,,750,2
4325,evokes,,144,10
4326,evolve,,1022,4
4327,ew,,70,6
4328,ewashington,,302,5
4329,ewerickson,,1129,4
4330,ex,,28,3
4331,exact,,751,3
4332,exactly,,752,2
4333,exaggeration,,753,3
4334,examination,,1956,5
4335,examine,,2185,7
4336,examined,,2060,4
4337,examiner,,883,4
4338,examinercom,,181,5
4339,example,,754,2
4340,exceed,,1907,4
4341,exceeded,,769,4
4342,exceedingly,,2207,7
4343,exceeds,,1931,3
4344,excel,,111,5
4345,excellence,,2191,3
4346,excellent,,755,2
4347,except,,758,3
4348,exception,,392,5
4349,exceptional,,756,2
4350,exceptionalism,,189,4
4351,exceptionally,,888,6
4352,excerpt,,190,4
4353,excess,,794,3
4354,excessive,,521,6
4355,exchange,,188,5
4356,excited,,757,2
4357,excitement,,758,4
4358,exciting,,278,3
4359,excluding,,1129,5
4360,exclusive,,521,3
4361,exclusively,,2191,11
4362,excoriated,,849,5
4363,excursion,,1967,5
4364,excuse,,759,2
4365,exec,,760,2
4366,execute,,302,4
4367,executed,,70,3
4368,executing,,761,2
4369,execution,,70,5
4370,executive,,762,2
4371,exemplary,,58,5
4372,exempt,,159,4
4373,exempted,,103,4
4374,exemption,,517,3
4375,exercise,,763,2
4376,exerting,,119,7
4377,exhausted,,764,3
4378,exist,,190,6
4379,existed,,765,2
4380,existence,,144,4
4381,existent,,190,7
4382,existing,,120,6
4383,exists,,1888,6
4384,exit,,58,3
