Id,Label,timeset,modularity_class,Degree
1015,barletta,,1862,7
1016,barnes,,2128,6
1017,barney,,1022,5
1018,baron,,188,7
1019,barontoutenberg,,2056,6
1020,barr,,2120,4
1021,barra,,189,9
1022,barrack,,144,7
1023,barrage,,190,7
1024,barre,,1855,6
1025,barrel,,467,6
1026,barrett,,236,6
1027,barrielouise,,16,5
1028,barrier,,184,4
1029,barrman,,191,2
1030,barron,,1969,7
1031,barry,,1022,7
1032,barrybnice,,111,3
1033,base,,859,3
1034,baseball,,496,7
1035,baseballhall,,111,7
1036,based,,58,4
1037,basement,,302,8
1038,bash,,111,4
1039,bashar,,95,10
1040,bashed,,2017,6
1041,bashing,,111,6
1042,bashir,,120,3
1043,basic,,3,5
1044,basically,,1855,7
1045,basilicaceo,,192,4
1046,basis,,193,2
1047,basket,,302,4
1048,basketball,,70,4
1049,bastard,,144,6
1050,bastilleday,,859,4
1051,bat,,1907,9
1052,bathroom,,2185,4
1053,batman,,2060,5
1054,baton,,194,3
1055,battery,,111,7
1056,batting,,195,2
1057,battle,,196,2
1058,battlefield,,144,7
1059,battleground,,1888,4
1060,battleship,,893,6
1061,battling,,729,4
1062,baxter,,197,4
1063,bay,,729,6
1064,baylor,,517,7
1065,bayojay,,1958,4
1066,bb,,167,4
1067,bbc,,517,4
1068,bbcnews,,1907,3
1069,bbcoachkk,,893,3
1070,bbpack,,198,2
1071,bc,,2128,6
1072,bchipper,,485,3
1073,bcuz,,103,7
1074,bd,,392,7
1075,bday,,151,3
1076,bdean,,1800,8
1077,bdublasvegas,,584,5
1078,beach,,1855,10
1079,beacon,,485,5
1080,beale,,119,5
1081,bean,,1951,4
1082,bear,,840,4
1083,beardymilne,,2251,4
1084,beast,,1022,8
1085,beat,,199,2
1086,beatable,,2178,4
1087,beaten,,517,3
1088,beating,,200,2
1089,beatsbyray,,201,3
1090,beaumontanthony,,202,2
1091,beautiful,,1855,3
1092,beautifully,,487,5
1093,beauty,,3,3
1094,bebest,,2227,8
1095,became,,203,2
1096,becca,,521,5
1097,beccapiano,,521,3
1098,beck,,1711,7
1099,becker,,149,8
1100,becky,,149,5
1101,become,,204,2
1102,becomes,,205,2
1103,becoming,,206,2
1104,bed,,729,4
1105,bedbug,,467,6
1106,bedford,,2178,5
1107,bedlam,,111,6
1108,bedminister,,302,6
1109,bedminster,,521,9
1110,bee,,416,6
1111,beef,,70,6
1112,beepee,,388,3
1113,beer,,1956,11
1114,beetabenjy,,2227,3
1115,beg,,496,7
1116,began,,207,2
1117,beggar,,208,2
1118,begged,,496,5
1119,begging,,209,2
1120,begin,,893,6
1121,beginning,,840,4
1122,begrudgingly,,467,4
1123,begs,,1888,6
1124,begun,,210,2
1125,behalf,,211,2
1126,behar,,236,5
1127,behave,,302,5
1128,behaved,,2120,5
1129,behaving,,2120,6
1130,behavior,,181,4
1131,beheaded,,58,5
1132,beheading,,58,5
1133,behind,,212,2
1134,beholden,,388,4
1135,bei,,2207,13
1136,beijing,,2155,11
1137,beil,,2129,3
1138,being,,485,6
1139,beirut,,144,10
1140,bel,,2185,9
1141,belated,,521,3
1142,belichick,,302,8
1143,belief,,451,3
1144,beliefheals,,213,2
1145,believable,,214,2
1146,believe,,215,2
1147,believed,,505,3
1148,believer,,103,5
1149,believing,,1969,4
1150,belittle,,190,5
1151,belittling,,422,7
1152,bell,,2109,5
1153,bella,,2231,8
1154,bellanycmag,,2251,3
1155,bellavia,,103,5
1156,belllabooo,,2056,5
1157,belong,,517,5
1158,belongs,,147,4
