Id,Label,timeset,count,views,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality
1258281633,maqlatee,,50,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1258490878,MySOulls,,88,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1258796177,faalatosa,,3,1167,1,0,1,0,0,0,0,0,0,0.000157,0.000696
1259130332,emam12asraj,,1,0,0,1,1,2,0.666667,0.75,0,0,0,0.000085,0
1259167004,matalakl,,63,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1259476176,Mr_liveee,,60,2877,0,1,1,2,0.666667,0.75,0,0,0,0.000085,0
1259837712,doobixbet,,99,15,1,1,2,1,1,1,0,0,0,0.003222,0.000816
1260018042,Hamsar_jaan,,2,0,0,1,1,5,0.254545,0.309524,0,0,0.000208,0.000085,0
1260020829,bachekoni_ngaidm,,62,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1260076053,betrayon_vip,,101,0,0,1,1,1,1,1,0,0,0,0.000085,0
1260109791,STORiYam,,57,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1260348891,FSfazsangin,,46,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1260712816,badvarzeshimohem,,71,0,0,2,2,2,0.75,0.833333,0,0,0.000183,0.000085,0
1260808746,gixmetir,,42,0,0,1,1,3,0.433333,0.474359,0,0,0.016887,0.000085,0
1260932558,PediaMovie_org,,56,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1260986735,hshtag,,64,0,0,2,2,3,0.481481,0.538462,0,0,0.025045,0.000085,0
1261034633,s2_d8,,57,0,0,2,2,3,0.448276,0.512821,0,0,0.026158,0.000085,0
1261202353,pesare_k,,51,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
1261310102,SerialeRaghsRoyeShishe,,60,0,0,3,3,4,0.376344,0.435714,0,0,0.007416,0.000085,0
1261314969,CinematicFilm,,76,0,0,3,3,3,0.5,0.576923,0,0,0.034316,0.000085,0
